election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,DE,Sussex,Sussex,county,14-01,,,election_day,LEWES FIRE HALL,"347 SAVANNAH RD, LEWES DE 19958",,website,2020-11-01,,POINT (-75.1407196 38.7724098),POINT (-75.14053 38.77238),POINT (-75.140933 38.77265),POINT (-75.14053 38.77239),POINT (-75.1407196 38.7724098)
2020-11-03,DE,Sussex,Sussex,county,14-02,,,election_day,CAPE HENLOPEN HIGH SCHOOL,"1250 KINGS HWY, LEWES DE 19958",,website,2020-11-01,,POINT (-75.1508898 38.7571248),POINT (-75.14943 38.75799),POINT (-75.147192 38.75787),POINT (-75.14971 38.7568),POINT (-75.1508898 38.7571248)
2020-11-03,DE,Sussex,Sussex,county,14-03,,,election_day,REHOBOTH FIRE HALL,"219 REHOBOTH AVE, REHOBOTH DE 19971",,website,2020-11-01,,POINT (-75.08269629999999 38.7163044),POINT (-75.08284999999999 38.71626),,POINT (-75.08251 38.7163),POINT (-75.08269629999999 38.7163044)
2020-11-03,DE,Sussex,Sussex,county,14-04,,,election_day,BEACON MIDDLE SCHOOL,"19483 JOHN J. WILLIAMS HWY, LEWES DE 19958",,website,2020-11-01,,POINT (-75.14879189999999 38.71434929999999),POINT (-75.14944 38.71399),POINT (-75.150958 38.71504),POINT (-75.14937999999999 38.71419),POINT (-75.14879189999999 38.71434929999999)
2020-11-03,DE,Sussex,Sussex,county,14-05,,,election_day,LEWES-REHOBOTH - STA. #3,"21194 JOHN J. WILLIAMS HWY, LEWES DE 19958",,website,2020-11-01,,POINT (-75.17720129999999 38.68922939999999),POINT (-75.17722000000001 38.68925),POINT (-75.17683700000001 38.688822),POINT (-75.17707 38.6889),POINT (-75.17720129999999 38.68922939999999)
2020-11-03,DE,Sussex,Sussex,county,14-06,,,election_day,REHOBOTH FIRE CO - STA. #2,"36027  AIRPORT RD, REHOBOTH DE 19971",,website,2020-11-01,,POINT (-75.12233879999999 38.7219716),POINT (-75.12226 38.72189),,POINT (-75.12291999999999 38.7222),POINT (-75.12233879999999 38.7219716)
2020-11-03,DE,Sussex,Sussex,county,14-07,,,election_day,REHOBOTH ELEMENTARY SCHOOL,"500 STOCKLEY ST, REHOBOTH DE 19971",,website,2020-11-01,,POINT (-75.0883578 38.7092674),POINT (-75.08852 38.70939),,POINT (-75.12689 38.73021),POINT (-75.0883578 38.7092674)
2020-11-03,DE,Sussex,Sussex,county,20-01,,,election_day,MILTON ELEMENTARY SCHOOL,"400 MULBERRY ST, MILTON DE 19968",,website,2020-11-01,,POINT (-75.31643369999999 38.7810228),POINT (-75.31647 38.78109),POINT (-75.315392 38.781549),POINT (-75.31791 38.78069),POINT (-75.31643369999999 38.7810228)
2020-11-03,DE,Sussex,Sussex,county,20-02,,,election_day,MARINER MIDDLE SCHOOL,"16391 HARBESON RD, MILTON DE 19968",,website,2020-11-01,,POINT (-75.3123373 38.764537),POINT (-75.30719999999999 38.7583),POINT (-75.313328 38.762677),POINT (-75.31222 38.76357),POINT (-75.3123373 38.764537)
2020-11-03,DE,Sussex,Sussex,county,20-03,,,election_day,H. O. BRITTINGHAM SCHOOL,"402 MULBERRY ST, MILTON DE 19968",,website,2020-11-01,,POINT (-75.31610409999999 38.7810535),POINT (-75.31668000000001 38.7815),POINT (-75.31525600000001 38.781304),POINT (-75.31668000000001 38.7815),POINT (-75.31610409999999 38.7810535)
2020-11-03,DE,Sussex,Sussex,county,20-04,,,election_day,COOL SPRING PRES CHURCH HALL,"28842 LOG CABIN HILL RD, LEWES DE 19958",,website,2020-11-01,,POINT (-75.23916699999999 38.7368903),POINT (-75.2402 38.73704),POINT (-75.23927 38.736884),POINT (-75.24121 38.56593),POINT (-75.23916699999999 38.7368903)
2020-11-03,DE,Sussex,Sussex,county,20-05,,,election_day,SHIELDS ELEMENTARY SCHOOL,"910 SHIELDS AVE, LEWES DE 19958",,website,2020-11-01,,POINT (-75.14806229999999 38.7677205),POINT (-75.1474 38.7679),POINT (-75.14724 38.767868),POINT (-87.83222000000001 42.47834),POINT (-75.14806229999999 38.7677205)
2020-11-03,DE,Sussex,Sussex,county,20-06,,,election_day,CAPE HENLOPEN HIGH SCHOOL,"1250 KINGS HWY, LEWES DE 19958",,website,2020-11-01,,POINT (-75.1508898 38.7571248),POINT (-75.14943 38.75799),POINT (-75.147192 38.75787),POINT (-75.14971 38.7568),POINT (-75.1508898 38.7571248)
2020-11-03,DE,Sussex,Sussex,county,20-07,,,election_day,SHIELDS ELEMENTARY SCHOOL,"910 SHIELDS AVE, LEWES DE 19958",,website,2020-11-01,,POINT (-75.14806229999999 38.7677205),POINT (-75.1474 38.7679),POINT (-75.14724 38.767868),POINT (-87.83222000000001 42.47834),POINT (-75.14806229999999 38.7677205)
2020-11-03,DE,Sussex,Sussex,county,20-08,,,election_day,HARBESON CHURCH HALL,"18636 HARBESON RD, HARBESON DE 19951",,website,2020-11-01,,POINT (-75.28652 38.7241),POINT (-75.28637999999999 38.7242),POINT (-75.285529 38.724299),POINT (-75.28637000000001 38.72419),POINT (-75.28652 38.7241)
2020-11-03,DE,Sussex,Sussex,county,20-09,,,election_day,MARINER MIDDLE SCHOOL,"16391 HARBESON RD, MILTON DE 19968",,website,2020-11-01,,POINT (-75.3123373 38.764537),POINT (-75.30719999999999 38.7583),POINT (-75.313328 38.762677),POINT (-75.31222 38.76357),POINT (-75.3123373 38.764537)
