election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,Google_geog,HERE_geog,MapQuest_geog,AzureMaps_geog,geog
2020-11-03,GA,Appling,Appling,county,2,,001012,election_day,LIONS CLUB BLDG/ AT FAIR GROUNDS,"245 INDUSTRIAL DR, BAXLEY, GA 31513",OTHER,ORR,2020-10-13,,POINT (-82.34239119999999 31.7819209),POINT (-82.34129 31.78216),POINT (-82.34158499999999 31.781802),POINT (-82.31901999999999 31.77193),POINT (-82.34239119999999 31.7819209)
2020-11-03,GA,Appling,Appling,county,1C,,001018,election_day,1ST ASSEMBLY OF GOD CHURCH,"3397 HATCH PKY N, BAXLEY, GA 31513",CHURCH,ORR,2020-10-13,,POINT (-82.347593 31.8257808),POINT (-82.34605000000001 31.82469),POINT (-82.345518 31.823663),POINT (-84.10324 32.17279),POINT (-82.347593 31.8257808)
2020-11-03,GA,Appling,Appling,county,1B,,001001,election_day,ALTAMAHA FIRE STATION,"392 ALTAMAHA SCHOOL RD, BAXLEY, GA 31513",County Building,ORR,2020-10-13,,POINT (-82.36533039999999 31.8756661),POINT (-82.36151 31.87547),POINT (-82.362758 31.875522),POINT (-82.34726000000001 31.76141),POINT (-82.36533039999999 31.8756661)
2020-11-03,GA,Appling,Appling,county,4D,,001006,election_day,BAX CH OF GOD/FELLOWSHIP HALL,"353 BLACKSHEAR HWY, BAXLEY, GA 31513",CHURCH,ORR,2020-10-13,,POINT (-82.35279849999999 31.7597485),POINT (-82.3515 31.76036),POINT (-82.35350200000001 31.759929),POINT (-82.35306 31.76028),POINT (-82.35279849999999 31.7597485)
2020-11-03,GA,Appling,Appling,county,5A,,001002,election_day,BAXLEY CITY GYM,"252 W. PARKER ST., BAXLEY, GA 31513",County Building,ORR,2020-10-13,,POINT (-82.35252129999999 31.7801026),POINT (-82.35250000000001 31.78009),POINT (-82.352711 31.779662),POINT (-82.35258 31.78014),POINT (-82.35252129999999 31.7801026)
2020-11-03,GA,Appling,Appling,county,5B,,001024,election_day,BIG OAKS CH. OF GOD (SOCIAL HALL),"5274 LAKE MAYERS RD., BAXLEY, GA 31513",CHURCH,ORR,2020-10-13,,POINT (-82.4796023 31.7620878),POINT (-82.47965000000001 31.76221),POINT (-82.479304 31.762355),POINT (-82.47959 31.76201),POINT (-82.4796023 31.7620878)
2020-11-03,GA,Appling,Appling,county,3C,,001008,election_day,EXTENSION EDUCATION BLDG/ 4H,"83 S OAK ST, BAXLEY, GA 31513",County Building,ORR,2020-10-13,,POINT (-82.34522059999999 31.7761805),POINT (-82.34492 31.77597),POINT (-82.34623499999999 31.775096),POINT (-80.59599 27.76432),POINT (-82.34522059999999 31.7761805)
2020-11-03,GA,Appling,Appling,county,3A1,,001022,election_day,ZION BAPTIST CH,"525 ZION BAPTIST CH. RD., BAXLEY, GA 31513",,ORR,2020-10-13,,POINT (-82.1804131 31.8638665),POINT (-82.18013999999999 31.86363),,POINT (-82.1806 31.86395),POINT (-82.1804131 31.8638665)
2020-11-03,GA,Appling,Appling,county,4B,,001010,election_day,ZION CH OF GOD,"16 PRATT HUTTO RD SE, SURRENCY, GA 31563",CHURCH,ORR,2020-10-13,,POINT (-82.2391408 31.6116583),POINT (-82.23896999999999 31.61131),POINT (-82.23826099999999 31.611077),POINT (-84.55262999999999 33.9126),POINT (-82.2391408 31.6116583)
2020-11-03,GA,Atkinson,Atkinson,county,0001,,002001,election_day,ATKINSON CO. ELECTION OFFICE,"636 AUSTIN AVENUE E, PEARSON, GA 31642",County Building,ORR,2020-10-13,,POINT (-82.84250870000001 31.2926525),POINT (-82.84286 31.29306),POINT (-82.855096 31.297016),POINT (-74.12511000000001 39.92698),POINT (-82.84250870000001 31.2926525)
2020-11-03,GA,Atkinson,Atkinson,county,0002,,002002,election_day,AXSON FIRE DEPT.,"7191 ATKINSON BLVD. E., AXSON, GA 31624",County Building,ORR,2020-10-13,,,POINT (-82.73327 31.27649),POINT (-82.72783099999999 31.2754),,POINT (-82.73327 31.27649)
2020-11-03,GA,Atkinson,Atkinson,county,0004,,002012,election_day,PEARSON CIVIC CENTER,"786 AUSTIN AVENUE EAST, PEARSON, GA 31642",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-82.84149069999999 31.2914263),POINT (-82.84108000000001 31.29212),POINT (-82.857193 31.297412),POINT (-83.19964 34.04143),POINT (-82.84149069999999 31.2914263)
2020-11-03,GA,Atkinson,Atkinson,county,0003,,002005,election_day,WILLACOOCHEE CITY HALL,"33 FLEETWOOD AVENUE, WILLACOOCHEE, GA 31650",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-83.04740369999999 31.3402766),POINT (-83.04604 31.34035),POINT (-83.046947 31.340472),POINT (-73.40805 40.80303),POINT (-83.04740369999999 31.3402766)
2020-11-03,GA,Bacon,Bacon,county,DOUGL,,003002,election_day,BACON COUNTY ELECTIONS OFFICE,"232 WEST 12TH STREET, ALMA, GA 31510",,ORR,2020-10-13,,POINT (-82.464885 31.5413592),POINT (-82.4648 31.54132),POINT (-82.464471 31.541583),POINT (-81.65787 30.35053),POINT (-82.464885 31.5413592)
2020-11-03,GA,Baker,Baker,county,A,,004001,election_day,ANNA PRECINCT,"100 GA HWY 200, LEARY, GA 39862",,ORR,2020-10-13,,,POINT (-84.48358 31.43038),,POINT (-84.48220000000001 31.43652),POINT (-84.48358 31.43038)
2020-11-03,GA,Baker,Baker,county,E,,004004,election_day,ELMODEL COURT HOUSE,"1694 JERICHO RD, NEWTON, GA",County Building,ORR,2020-10-13,,POINT (-84.4727858 31.34575779999999),POINT (-84.47278 31.34624),POINT (-84.47264 31.345621),POINT (-84.47291 31.34563),POINT (-84.4727858 31.34575779999999)
2020-11-03,GA,Baker,Baker,county,H,,004005,election_day,HOGGARDS MILL COURT HOUSE,"5600 HOGGARDS MILL RD, COLQUITT, GA",County Building,ORR,2020-10-13,,POINT (-84.47520279999999 31.2130345),POINT (-84.4752 31.21303),,POINT (-84.4752 31.21304),POINT (-84.47520279999999 31.2130345)
2020-11-03,GA,Baker,Baker,county,M,,004006,election_day,MILFORD COURT HOUSE,"1512 PATMOS MILFORD HWY, LEARY, GA",County Building,ORR,2020-10-13,,POINT (-84.5444253 31.3817909),POINT (-84.54398 31.38194),,POINT (-84.54439000000001 31.38191),POINT (-84.5444253 31.3817909)
2020-11-03,GA,Baker,Baker,county,N,,004002,election_day,NEWTON PRECINCT - NEWTON BAPTIST CHURCH,"279 W. BROAD STREET, NEWTON, GA 39870",CHURCH,ORR,2020-10-13,,POINT (-84.34315220000001 31.3152337),POINT (-84.34293 31.31509),POINT (-84.34370800000001 31.315306),POINT (-83.37465 33.95812),POINT (-84.34315220000001 31.3152337)
2020-11-03,GA,Baldwin,Baldwin,county,CTY4,,005001,election_day,BALDWIN COUNTY COURTHOUSE,"121 N WILKINSON ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2286005 33.0815124),POINT (-83.22852 33.08161),POINT (-83.229128 33.082275),POINT (-83.22852 33.08161),POINT (-83.2286005 33.0815124)
2020-11-03,GA,Baldwin,Baldwin,county,CTY2,,005002,election_day,CITY HALL ANNEX,"127 E HANCOCK ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2259366 33.0813224),POINT (-83.2261 33.0813),POINT (-83.226643 33.081326),POINT (-83.22801 33.0815),POINT (-83.2259366 33.0813224)
2020-11-03,GA,Baldwin,Baldwin,county,322,,005003,election_day,COOPERS FIRE DEPT,"252 COOPERS RD SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2892358 32.9816574),POINT (-83.28907 32.98175),POINT (-83.285501 32.978536),POINT (-83.28519 32.9788),POINT (-83.2892358 32.9816574)
2020-11-03,GA,Baldwin,Baldwin,county,CTY6,,005015,election_day,DUNLAP ROAD FIRE STATION,"751 DUNLAP RD NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.24493409999999 33.1120805),POINT (-83.24491999999999 33.11212),POINT (-83.244767 33.111826),POINT (-83.2449 33.11215),POINT (-83.24493409999999 33.1120805)
2020-11-03,GA,Baldwin,Baldwin,county,MONT,,005006,election_day,EAST BALDWIN FIRE DEPARTMENT,"207 LOVERS LN NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.1471253 33.0943727),POINT (-83.14700000000001 33.09239),POINT (-83.14714600000001 33.092969),POINT (-83.26186 33.12644),POINT (-83.1471253 33.0943727)
2020-11-03,GA,Baldwin,Baldwin,county,CTY5,,005005,election_day,FIRE DEPARTMENT,"201 W THOMAS ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2303993 33.0852415),POINT (-83.23011 33.08521),POINT (-83.229912 33.085094),POINT (-83.23233 33.09231),POINT (-83.2303993 33.0852415)
2020-11-03,GA,Baldwin,Baldwin,county,CTY3,,005009,election_day,FORMERLY BODDIE MIDDLE SCHOOL,"1340 ORCHARD HILL RD, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2260809 33.101164),POINT (-83.22593999999999 33.10117),POINT (-83.22579500000001 33.10127),POINT (-83.22608 33.10116),POINT (-83.2260809 33.101164)
2020-11-03,GA,Baldwin,Baldwin,county,321E,,005010,election_day,HARDWICK BAPTIST CHURCH,"124 THOMAS ST SE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2286842 33.0535989),POINT (-83.22857 33.05363),POINT (-83.22917200000001 33.053438),POINT (-83.22856 33.05363),POINT (-83.2286842 33.0535989)
2020-11-03,GA,Baldwin,Baldwin,county,321W,,005011,election_day,HARDWICK FIRE DEPT,"312 ALLEN MEMORIAL DR SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2464049 33.054965),POINT (-83.24665 33.05451),POINT (-83.246601 33.054361),POINT (-85.02001 34.42426),POINT (-83.2464049 33.054965)
2020-11-03,GA,Baldwin,Baldwin,county,MERI,,005012,election_day,MERIWETHER FIRE DEPARTMENT,"781 GA HIGHWAY 212 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.34664309999999 33.1539354),POINT (-83.34663 33.15394),POINT (-83.347003 33.153636),POINT (-83.34663 33.15393),POINT (-83.34664309999999 33.1539354)
2020-11-03,GA,Baldwin,Baldwin,county,318,,005004,election_day,NORTH BALDWIN FIRE DEPARTMENT,"184 LOG CABIN RD NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.2596538 33.1521486),POINT (-83.25987000000001 33.152),POINT (-83.260305 33.151489),POINT (-83.2599 33.15184),POINT (-83.2596538 33.1521486)
2020-11-03,GA,Baldwin,Baldwin,county,1714,,005013,election_day,SCOTTSBORO WATER TOWER,"164 GORDON HWY SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.23802839999999 33.0161005),POINT (-83.23791 33.01619),POINT (-83.238316 33.016417),POINT (-83.2379 33.01618),POINT (-83.23802839999999 33.0161005)
2020-11-03,GA,Baldwin,Baldwin,county,CTY1,,005014,election_day,WALTER B WILLIAMS REC CENTER,"59 GA HIGHWAY 22 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.27509959999999 33.0964858),POINT (-83.27333 33.09416),,POINT (-83.27489 33.09922),POINT (-83.27333 33.09416)
2020-11-03,GA,Baldwin,Baldwin,county,319,,005007,election_day,WEST BALDWIN FIRE DEPARTMENT,"418 GA HIGHWAY 22 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-13,,POINT (-83.3470846 33.0728166),POINT (-83.34739999999999 33.07257),POINT (-83.345949 33.073327),POINT (-83.28901999999999 33.04922),POINT (-83.3470846 33.0728166)
2020-11-03,GA,Banks,Banks,county,0007,,006009,election_day,"FELLOWSHIP HALL, ROCK SPRINGS","747 ROCK SPRINGS RD, LULA, GA 30554",,ORR,2020-10-13,,POINT (-83.5456191 34.4041327),POINT (-83.54849 34.40209),,POINT (-83.54792999999999 34.40234),POINT (-83.5456191 34.4041327)
2020-11-03,GA,Banks,Banks,county,0011,,006009,election_day,"FELLOWSHIP HALL, ROCK SPRINGS","747 ROCK SPRINGS RD, LULA, GA 30554",,ORR,2020-10-13,,POINT (-83.5456191 34.4041327),POINT (-83.54849 34.40209),,POINT (-83.54792999999999 34.40234),POINT (-83.5456191 34.4041327)
2020-11-03,GA,Banks,Banks,county,0001,,006024,election_day,"GROVE LEVEL BAPTIST CHURCH, STUDENT CENTER","1702 GROVE LEVEL ROAD, MAYSVILLE, GA 30558",CHURCH,ORR,2020-10-13,,POINT (-83.5224609 34.2840042),POINT (-83.52066000000001 34.2836),POINT (-83.520599 34.283247),POINT (-83.52118 34.2838),POINT (-83.5224609 34.2840042)
2020-11-03,GA,Banks,Banks,county,0008,,006024,election_day,"GROVE LEVEL BAPTIST CHURCH, STUDENT CENTER","1702 GROVE LEVEL ROAD, MAYSVILLE, GA 30558",CHURCH,ORR,2020-10-13,,POINT (-83.5224609 34.2840042),POINT (-83.52066000000001 34.2836),POINT (-83.520599 34.283247),POINT (-83.52118 34.2838),POINT (-83.5224609 34.2840042)
2020-11-03,GA,Banks,Banks,county,0003,,006002,election_day,HOMER CITY HALL,"943 HISTORIC HOMER HWY, HOMER, GA 30547",,ORR,2020-10-13,,POINT (-83.49764809999999 34.3340723),POINT (-83.49775 34.33407),POINT (-83.497855 34.334371),POINT (-83.49759 34.33408),POINT (-83.49764809999999 34.3340723)
2020-11-03,GA,Banks,Banks,county,0010,,006002,election_day,HOMER CITY HALL,"943 HISTORIC HOMER HWY, HOMER, GA 30547",,ORR,2020-10-13,,POINT (-83.49764809999999 34.3340723),POINT (-83.49775 34.33407),POINT (-83.497855 34.334371),POINT (-83.49759 34.33408),POINT (-83.49764809999999 34.3340723)
2020-11-03,GA,Banks,Banks,county,0002,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-13,,POINT (-83.4314409 34.4554114),POINT (-83.43155 34.45492),POINT (-83.43164299999999 34.454758),POINT (-83.43165999999999 34.45521),POINT (-83.4314409 34.4554114)
2020-11-03,GA,Banks,Banks,county,0005,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-13,,POINT (-83.4314409 34.4554114),POINT (-83.43155 34.45492),POINT (-83.43164299999999 34.454758),POINT (-83.43165999999999 34.45521),POINT (-83.4314409 34.4554114)
2020-11-03,GA,Banks,Banks,county,0009,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-13,,POINT (-83.4314409 34.4554114),POINT (-83.43155 34.45492),POINT (-83.43164299999999 34.454758),POINT (-83.43165999999999 34.45521),POINT (-83.4314409 34.4554114)
2020-11-03,GA,Banks,Banks,county,0012,,006025,election_day,"NAILS CREEK CHURCH, FELLOWSHIP HALL","2743 HIGHWAY 51 N, HOMER, GA 30547",,ORR,2020-10-13,,POINT (-83.406076 34.372113),POINT (-83.40517 34.37273),POINT (-83.405143 34.371986),POINT (-83.40589 34.37241),POINT (-83.406076 34.372113)
2020-11-03,GA,Banks,Banks,county,0013,,006025,election_day,"NAILS CREEK CHURCH, FELLOWSHIP HALL","2743 HIGHWAY 51 N, HOMER, GA 30547",,ORR,2020-10-13,,POINT (-83.406076 34.372113),POINT (-83.40517 34.37273),POINT (-83.405143 34.371986),POINT (-83.40589 34.37241),POINT (-83.406076 34.372113)
2020-11-03,GA,Banks,Banks,county,0004,,006008,election_day,NEW SALEM METHODIST CHURCH FELLOWSHIP HALL,"2170 HWY 59, COMMERCE, GA 30530",,ORR,2020-10-13,,POINT (-83.41430989999999 34.2847747),POINT (-83.41386 34.28491),POINT (-83.41637799999999 34.283856),POINT (-83.41646 34.28329),POINT (-83.41430989999999 34.2847747)
2020-11-03,GA,Banks,Banks,county,0006,,006008,election_day,NEW SALEM METHODIST CHURCH FELLOWSHIP HALL,"2170 HWY 59, COMMERCE, GA 30530",,ORR,2020-10-13,,POINT (-83.41430989999999 34.2847747),POINT (-83.41386 34.28491),POINT (-83.41637799999999 34.283856),POINT (-83.41646 34.28329),POINT (-83.41430989999999 34.2847747)
2020-11-03,GA,Barrow,Barrow,county,02,,007028,election_day,BETHLEHEM CHURCH - 211 CAMPUS,"1054 OLD THOMPSON MILL RD, HOSCHTON, GA 30548",,ORR,2020-10-13,,POINT (-83.7842677 34.0658435),POINT (-83.78515 34.06484),,POINT (-83.78509 34.0642),POINT (-83.7842677 34.0658435)
2020-11-03,GA,Barrow,Barrow,county,01,,007024,election_day,BETHLEHEM COMMUNITY CENTER,"750 MANGER AVE, BETHLEHEM, GA 30620",,ORR,2020-10-13,,POINT (-83.7130433 33.9328326),POINT (-83.7132 33.93285),POINT (-83.71365 33.932821),POINT (-83.71319 33.93285),POINT (-83.7130433 33.9328326)
2020-11-03,GA,Barrow,Barrow,county,04,,007020,election_day,COVENANT LIFE SANCTUARY,"115 PATRICK MILL RD SW, WINDER, GA 30680",,ORR,2020-10-13,,POINT (-83.779369 33.9852866),POINT (-83.77934999999999 33.98454),POINT (-83.77921600000001 33.98447),POINT (-84.52849999999999 33.75128),POINT (-83.779369 33.9852866)
2020-11-03,GA,Barrow,Barrow,county,05,,007012,election_day,FIRE STATION 1 (STATHAM),"1625 BETHLEHEM RD, STATHAM, GA 30666",,ORR,2020-10-13,,POINT (-83.6035354 33.9600572),POINT (-83.60333 33.96019),POINT (-83.603695 33.960541),POINT (-83.60336 33.9602),POINT (-83.6035354 33.9600572)
2020-11-03,GA,Barrow,Barrow,county,08,,007029,election_day,FIRST BAPTIST CHURCH WINDER,"625 JEFFERSON HWY, WINDER, GA 30680",CHURCH,ORR,2020-10-13,,POINT (-83.6914312 34.0155439),POINT (-83.69002 34.01692),POINT (-83.691939 34.016379),POINT (-83.69119000000001 34.01373),POINT (-83.6914312 34.0155439)
2020-11-03,GA,Barrow,Barrow,county,03,,007002,election_day,HMONG NEW HOPE ALLIANCE CHURCH,"1622 UNION GROVE CHURCH RD, AUBURN, GA 30011",,ORR,2020-10-13,,POINT (-83.8462224 34.0373178),POINT (-83.84693 34.03723),POINT (-83.846737 34.03765),POINT (-83.84693 34.03725),POINT (-83.8462224 34.0373178)
2020-11-03,GA,Barrow,Barrow,county,16,,007022,election_day,THE CHURCH AT WINDER,"546 TREADWELL RD, BETHLEHEM, GA 30620",,ORR,2020-10-13,,POINT (-83.726725 33.949275),POINT (-83.72744 33.9492),POINT (-83.728528 33.948301),POINT (-83.72744 33.94921),POINT (-83.726725 33.949275)
2020-11-03,GA,Barrow,Barrow,county,13,,007017,election_day,WINDER COMMUNITY CENTER,"113 E ATHENS ST, WINDER, GA 30680",,ORR,2020-10-13,,POINT (-83.71953999999999 33.990229),,POINT (-83.718917 33.990925),POINT (-84.48515 35.42819),POINT (-83.71953999999999 33.990229)
2020-11-03,GA,Bartow,Bartow,county,02,,008003,election_day,ALLATOONA RESOURCE CENTER,"6503 GLADE RD, ACWORTH, GA 30102",County Building,ORR,2020-10-13,,POINT (-84.681162 34.1137254),POINT (-84.68053 34.11378),,POINT (-84.62656 34.1095),POINT (-84.681162 34.1137254)
2020-11-03,GA,Bartow,Bartow,county,11,,008030,election_day,ATCO BAPTIST CHURCH,"20 PARMENTER ST, CARTERSVILLE, GA 30120",,ORR,2020-10-13,,POINT (-84.82196329999999 34.1804492),POINT (-84.82174000000001 34.1805),POINT (-84.82087799999999 34.180525),POINT (-84.82177 34.18047),POINT (-84.82196329999999 34.1804492)
2020-11-03,GA,Bartow,Bartow,county,17,,008005,election_day,BEAVERS DRIVE SENIOR CENTER,"33 BEAVERS DRIVE, CARTERSVILLE, GA 30120",County Building,ORR,2020-10-13,,POINT (-84.86799069999999 34.2377453),POINT (-84.86787 34.23777),POINT (-84.867559 34.237767),POINT (-84.86787 34.23777),POINT (-84.86799069999999 34.2377453)
2020-11-03,GA,Bartow,Bartow,county,04,,008006,election_day,CARTERSVILLE CIVIC CENTER,"435 WEST MAIN STREET, CARTERSVILLE, GA 30120",,ORR,2020-10-13,,POINT (-84.80646539999999 34.16354949999999),POINT (-84.80647999999999 34.16349),POINT (-84.80618200000001 34.163138),POINT (-84.8062 34.16457),POINT (-84.80646539999999 34.16354949999999)
2020-11-03,GA,Bartow,Bartow,county,05,,008031,election_day,CASSVILLE BAPTIST CHURCH,"1663 CASSVILLE RD NW, CARTERSVILLE, GA 30121",CHURCH,ORR,2020-10-13,,POINT (-84.8534131 34.24449690000001),POINT (-84.85317999999999 34.24429),POINT (-84.85257799999999 34.244285),POINT (-84.85317999999999 34.24429),POINT (-84.8534131 34.24449690000001)
2020-11-03,GA,Bartow,Bartow,county,06,,008008,election_day,CENTER COMMUNITY CENTER,"684 CENTER RD, CARTERSVILLE, GA 30121",County Building,ORR,2020-10-13,,POINT (-84.7406362 34.199812),POINT (-84.74112 34.19891),,POINT (-84.71378 34.11124),POINT (-84.7406362 34.199812)
2020-11-03,GA,Bartow,Bartow,county,03,,008016,election_day,CHAMBER OF COMMERCE,"122 WEST MAIN STREET, CARTERSVILLE, GA 30120",BUSINESS,ORR,2020-10-13,,POINT (-84.7974056 34.1641835),POINT (-84.79711 34.16401),POINT (-84.797377 34.164655),POINT (-84.79711 34.16401),POINT (-84.7974056 34.1641835)
2020-11-03,GA,Bartow,Bartow,county,18,,008029,election_day,CREEKSIDE FELLOWSHIP CHURCH,"585 OLD ALABAMA RD, CARTERSVILLE, GA 30120",CHURCH,ORR,2020-10-13,,POINT (-84.8138927 34.115056),POINT (-84.81389 34.11506),,POINT (-84.81389 34.11506),POINT (-84.8138927 34.115056)
2020-11-03,GA,Bartow,Bartow,county,07,,008009,election_day,EMERSON CITY HALL,"700 HWY 293, EMERSON, GA 30137",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-84.75697649999999 34.1266448),POINT (-84.75676 34.12694),POINT (-84.75647600000001 34.126709),POINT (-84.7569 34.12656),POINT (-84.75697649999999 34.1266448)
2020-11-03,GA,Bartow,Bartow,county,08,,008010,election_day,EUHARLEE CITY HALL,"30 BURGE`S MILL RD, EUHARLEE, GA 30145",,ORR,2020-10-13,,POINT (-84.93695580000001 34.1471996),POINT (-84.93675 34.14713),POINT (-84.93589 34.147077),POINT (-84.93675 34.14713),POINT (-84.93695580000001 34.1471996)
2020-11-03,GA,Bartow,Bartow,county,09,,008011,election_day,FOLSOM FIRE DEPT,"2124 STATE ROUTE 140, ADAIRSVILLE, GA 30103",County Building,ORR,2020-10-13,,POINT (-84.8423552 34.3819043),POINT (-84.84235 34.382),,POINT (-84.84238000000001 34.38203),POINT (-84.8423552 34.3819043)
2020-11-03,GA,Bartow,Bartow,county,10,,008012,election_day,KINGSTON CITY HALL,"30 WEST MAIN STREET, KINGSTON, GA 30145",,ORR,2020-10-13,,POINT (-84.94766799999999 34.2355329),POINT (-84.94776 34.23569),POINT (-84.947767 34.235351),POINT (-84.94776 34.23569),POINT (-84.94766799999999 34.2355329)
2020-11-03,GA,Bartow,Bartow,county,01,,008025,election_day,MANNING MILL PARK FACILITY,"163B MANNING MILL RD, ADAIRSVILLE, GA 30103",County Building,ORR,2020-10-13,,POINT (-84.90038869999999 34.3457503),POINT (-84.90275 34.34534),POINT (-84.902772 34.345461),POINT (-84.90380999999999 34.34332),POINT (-84.90038869999999 34.3457503)
2020-11-03,GA,Bartow,Bartow,county,12,,008026,election_day,PINE LOG FIRE STATION 8,"189 OLIVE VINE CHURCH RD, RYDAL, GA 30171",County Building,ORR,2020-10-13,,POINT (-84.7353516 34.3386776),POINT (-84.735 34.33737),POINT (-84.734858 34.338741),POINT (-84.73522 34.33874),POINT (-84.7353516 34.3386776)
2020-11-03,GA,Bartow,Bartow,county,14,,008019,election_day,TAYLORSVILLE CITY HALL,"11 EUHARLEE STREET, TAYLORSVILLE, GA 30178",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-84.9883157 34.0864742),POINT (-84.98797999999999 34.08644),POINT (-84.987911 34.086633),POINT (-84.98820000000001 34.0865),POINT (-84.9883157 34.0864742)
2020-11-03,GA,Bartow,Bartow,county,15,,008028,election_day,WHITE UNITED METHODIST CHURCH,"3411 HIGHWAY 411 NE, WHITE, GA 30184",CHURCH,ORR,2020-10-13,,POINT (-84.74416579999999 34.2835051),POINT (-84.74402000000001 34.28324),POINT (-84.743492 34.283225),POINT (-84.74402000000001 34.28324),POINT (-84.74416579999999 34.2835051)
2020-11-03,GA,Bartow,Bartow,county,16,,008023,election_day,ZENA DRIVE SENIOR CENTER,"102 ZENA DRIVE, CARTERSVILLE, GA 30120",County Building,ORR,2020-10-13,,POINT (-84.7780769 34.1916232),POINT (-84.73205 34.08355),POINT (-84.779724 34.18993),POINT (-84.77816 34.19167),POINT (-84.7780769 34.1916232)
2020-11-03,GA,Ben Hill,Ben Hill,county,2,,009001,election_day,ARBOR CHURCH ANNEX/TEMP MOVE,"602 S. GRANT ST, FITZGERALD, GA 31750",,ORR,2020-10-13,,POINT (-83.25246159999999 31.7089312),POINT (-83.25248000000001 31.70889),POINT (-83.252881 31.708891),POINT (-83.25248000000001 31.7089),POINT (-83.25246159999999 31.7089312)
2020-11-03,GA,Ben Hill,Ben Hill,county,1,,009004,election_day,EAST,"602 S. GRANT ST, FITZGERALD, GA 31750",County Building,ORR,2020-10-13,,POINT (-83.25246159999999 31.7089312),POINT (-83.25248000000001 31.70889),POINT (-83.252881 31.708891),POINT (-83.25248000000001 31.7089),POINT (-83.25246159999999 31.7089312)
2020-11-03,GA,Berrien,Berrien,county,1157,,010012,election_day,AG CENTER,"516-A COUNTY FARM ROAD, NASHVILLE, GA 31639",,ORR,2020-10-13,,POINT (-83.26486439999999 31.1917453),POINT (-83.26295 31.19201),POINT (-83.26416999999999 31.192013),POINT (-77.90487 39.5543),POINT (-83.26486439999999 31.1917453)
2020-11-03,GA,Berrien,Berrien,county,518,,010003,election_day,CITY HALL ALAPAHA,"112 N.W. RAILROAD ST, ALAPAHA, GA 31622",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-83.2250447 31.3817307),POINT (-83.22528 31.38183),,POINT (-77.25545 35.82437),POINT (-83.2250447 31.3817307)
2020-11-03,GA,Berrien,Berrien,county,1642,,010005,election_day,CITY HALL ENIGMA,"569 MAIN ST, ENIGMA, GA 31749",,ORR,2020-10-13,,POINT (-83.3297623 31.40898989999999),POINT (-83.32975 31.409),POINT (-83.329598 31.408783),POINT (-83.61407 32.84424),POINT (-83.3297623 31.40898989999999)
2020-11-03,GA,Berrien,Berrien,county,1144,,010004,election_day,CITY HALL RAY CITY,"8151 MAIN ST, RAY CITY, GA 31645",MUNICIPAL BUILDING,ORR,2020-10-13,,POINT (-83.1974905 31.0752383),POINT (-83.19422 31.0754),POINT (-83.195791 31.075267),,POINT (-83.1974905 31.0752383)
2020-11-03,GA,Berrien,Berrien,county,11062,,010016,election_day,FIRE DEPARTMENT,"11062 GA - HWY 125, LENOX, GA 31637",,ORR,2020-10-13,,POINT (-83.3720537 31.3152629),POINT (-83.37264 31.3154),,POINT (-83.47954 31.45197),POINT (-83.3720537 31.3152629)
2020-11-03,GA,Bibb,Bibb,county,EM3,,011120,election_day,APPLING MIDDLE SCHOOL ( 1646 BUILDING B ),"1646 UPPER RIVER RD, MACON, GA 31211",,ORR,2020-10-13,,POINT (-83.6213102 32.8665179),POINT (-83.61960000000001 32.86708),POINT (-83.619602 32.867259),POINT (-83.62015 32.86678),POINT (-83.6213102 32.8665179)
