,preprocessed_name,NAME,CITY_x,STATE
2065,alaskapacificuniversity,ALASKA PACIFIC UNIVERSITY,Anchorage,AK
1149,amridgeuniversity,AMRIDGE UNIVERSITY,Montgomery,AL
1139,bevillstatecommunitycollege,BEVILL STATE COMMUNITY COLLEGE,Jasper,AL
1146,columbiasouthernuniversity,COLUMBIA SOUTHERN UNIVERSITY,Orange Beach,AL
1185,concordiacollegealabama,CONCORDIA COLLEGE ALABAMA,,AL
1187,herzinguniversitybirmingham,HERZING UNIVERSITY-BIRMINGHAM,Birmingham,AL
1186,judsoncollege,JUDSON COLLEGE,Marion,AL
1167,milescollege,MILES COLLEGE,Fairfield,AL
1183,selmauniversity,SELMA UNIVERSITY,Selma,AL
1180,stillmancollege,STILLMAN COLLEGE,Tuscaloosa,AL
1181,talladegacollege,TALLADEGA COLLEGE,Talladega,AL
1182,tuskegeeuniversity,TUSKEGEE UNIVERSITY,Tuskegee,AL
1168,universitymobile,UNIVERSITY OF MOBILE,Mobile,AL
1171,universitynorthalabama,UNIVERSITY OF NORTH ALABAMA,Florence,AL
541,arkansasstateuniversitymidsouth,ARKANSAS STATE UNIVERSITY MID-SOUTH,West Memphis,AR
532,blackrivertechnicalcollege,BLACK RIVER TECHNICAL COLLEGE,Pocahontas,AR
537,hardinguniversity,HARDING UNIVERSITY,Searcy,AR
538,hendersonstateuniversity,HENDERSON STATE UNIVERSITY,Arkadelphia,AR
539,hendrixcollege,HENDRIX COLLEGE,Conway,AR
536,nationalparkcollege,NATIONAL PARK COLLEGE,Hot Springs,AR
552,northwestarkansascommunitycollege,NORTHWEST ARKANSAS COMMUNITY COLLEGE,Bentonville,AR
545,ozarkacollege,OZARKA COLLEGE,Melbourne,AR
555,shortercollege,SHORTER COLLEGE,N Little Rock,AR
547,southeastarkansascollege,SOUTHEAST ARKANSAS COLLEGE,Pine Bluff,AR
531,universityarkansasmonticello,UNIVERSITY OF ARKANSAS AT MONTICELLO,Monticello,AR
549,williamsbaptistuniversity,WILLIAMS BAPTIST UNIVERSITY,,AR
1665,arizonastateuniversitydowntownphoenix,ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX,Phoenix,AZ
1661,arizonastateuniversitywest,ARIZONA STATE UNIVERSITY-WEST,Glendale,AZ
1646,collegeamericaflagstaff,COLLEGEAMERICA-FLAGSTAFF,Flagstaff,AZ
1644,collegeamericaphoenix,COLLEGEAMERICA-PHOENIX,Phoenix,AZ
1658,prescottcollege,PRESCOTT COLLEGE,Prescott,AZ
1660,yavapaicollege,YAVAPAI COLLEGE,Prescott,AZ
732,antiochuniversitylosangeles,ANTIOCH UNIVERSITY-LOS ANGELES,Culver City,CA
675,azusapacificuniversity,AZUSA PACIFIC UNIVERSITY,Azusa,CA
679,buttecollege,BUTTE COLLEGE,Oroville,CA
670,californiachristiancollege,CALIFORNIA CHRISTIAN COLLEGE,Fresno,CA
663,californiacollegesandiego,CALIFORNIA COLLEGE SAN DIEGO,San Diego,CA
706,chabotcollege,CHABOT COLLEGE,Hayward,CA
721,claremontmckennacollege,CLAREMONT MCKENNA COLLEGE,Claremont,CA
671,communitychristiancollege,COMMUNITY CHRISTIAN COLLEGE,Redlands,CA
767,coppermountaincommunitycollege,COPPER MOUNTAIN COMMUNITY COLLEGE,Joshua Tree,CA
661,fresnopacificuniversity,FRESNO PACIFIC UNIVERSITY,Fresno,CA
764,harveymuddcollege,HARVEY MUDD COLLEGE,Claremont,CA
830,holynamesuniversity,HOLY NAMES UNIVERSITY,Oakland,CA
778,hopeinternationaluniversity,HOPE INTERNATIONAL UNIVERSITY,Fullerton,CA
725,johnfkennedyuniversity,JOHN F. KENNEDY UNIVERSITY,Pleasant Hill,CA
783,lasierrauniversity,LA SIERRA UNIVERSITY,Riverside,CA
729,lifepacificcollege,LIFE PACIFIC COLLEGE,San Dimas,CA
831,marymountcaliforniauniversity,MARYMOUNT CALIFORNIA UNIVERSITY,Rancho Palos Verdes,CA
795,mastersuniversityseminary,THE MASTER'S UNIVERSITY AND SEMINARY,,CA
738,middleburyinstituteinternationalstudiesmonterey,MIDDLEBURY INSTITUTE OF INTERNATIONAL STUDIES AT MONTEREY,,CA
760,millscollege,MILLS COLLEGE,Oakland,CA
827,mountsaintmarysuniversity,MOUNT SAINT MARY'S UNIVERSITY,Los Angeles,CA
786,nationaluniversity,NATIONAL UNIVERSITY,La Jolla,CA
801,notredamedenamuruniversity,NOTRE DAME DE NAMUR UNIVERSITY,Belmont,CA
734,pacificoakscollege,PACIFIC OAKS COLLEGE,Pasadena,CA
803,paloaltouniversity,PALO ALTO UNIVERSITY,Palo Alto,CA
720,pitzercollege,PITZER COLLEGE,Claremont,CA
777,santiagocanyoncollege,SANTIAGO CANYON COLLEGE,Orange,CA
667,saybrookuniversity,SAYBROOK UNIVERSITY,,CA
735,southerncaliforniainstitutearchitecture,SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE,Los Angeles,CA
743,stanbridgeuniversity,STANBRIDGE UNIVERSITY,,CA
809,stanforduniversity,STANFORD UNIVERSITY,Stanford,CA
834,tourocollegelosangeles,TOURO COLLEGE - LOS ANGELES,,CA
715,tridentuniversityinternational,TRIDENT UNIVERSITY INTERNATIONAL,Cypress,CA
718,universitylaverne,UNIVERSITY OF LA VERNE,La Verne,CA
792,universityredlands,UNIVERSITY OF REDLANDS,Redlands,CA
761,victorvalleycollege,VICTOR VALLEY COLLEGE,Victorville,CA
833,westcoastultrasoundinstitute,WEST COAST ULTRASOUND INSTITUTE,,CA
820,wrightinstitute,THE WRIGHT INSTITUTE,,CA
586,americansentineluniversity,AMERICAN SENTINEL UNIVERSITY,Aurora,CO
563,coloradochristianuniversity,COLORADO CHRISTIAN UNIVERSITY,Lakewood,CO
564,coloradocollege,COLORADO COLLEGE,Colorado Springs,CO
556,emilygriffithtechnicalcollege,EMILY GRIFFITH TECHNICAL COLLEGE,Denver,CO
215,goodwincollege,GOODWIN COLLEGE,East Hartford,CT
222,mitchellcollege,MITCHELL COLLEGE,New London,CT
227,postuniversity,POST UNIVERSITY,Waterbury,CT
343,americanuniversity,AMERICAN UNIVERSITY,Washington,DC
350,trinitywashingtonuniversity,TRINITY WASHINGTON UNIVERSITY,Washington,DC
1693,goldeybeacomcollege,GOLDEY-BEACOM COLLEGE,Wilmington,DE
1694,wesleycollege,WESLEY COLLEGE,Dover,DE
1692,wilmingtonuniversity,WILMINGTON UNIVERSITY,New Castle,DE
1018,avemariauniversity,AVE MARIA UNIVERSITY,,FL
1035,barryuniversity,BARRY UNIVERSITY,Miami,FL
1034,bethunecookmanuniversity,BETHUNE-COOKMAN UNIVERSITY,Daytona Beach,FL
1036,citycollegefortlauderdale,CITY COLLEGE-FORT LAUDERDALE,Fort Lauderdale,FL
1031,edwardwaterscollege,EDWARD WATERS COLLEGE,Jacksonville,FL
984,evergladesuniversity,EVERGLADES UNIVERSITY,Boca Raton,FL
1032,floridaatlanticuniversity,FLORIDA ATLANTIC UNIVERSITY,Boca Raton,FL
1026,floridainternationaluniversity,FLORIDA INTERNATIONAL UNIVERSITY,Miami,FL
1030,floridakeyscommunitycollege,FLORIDA KEYS COMMUNITY COLLEGE,Key West,FL
990,floridamemorialuniversity,FLORIDA MEMORIAL UNIVERSITY,Miami Gardens,FL
1020,floridapolytechnicuniversity,FLORIDA POLYTECHNIC UNIVERSITY,Lakeland,FL
991,floridasoutherncollege,FLORIDA SOUTHERN COLLEGE,Lakeland,FL
986,floridatechnicalcollege,FLORIDA TECHNICAL COLLEGE,Orlando,FL
1045,fullsailuniversity,FULL SAIL UNIVERSITY,,FL
996,jacksonvilleuniversity,JACKSONVILLE UNIVERSITY,Jacksonville,FL
997,keiseruniversityftlauderdale,KEISER UNIVERSITY-FT LAUDERDALE,Fort Lauderdale,FL
1039,lynnuniversity,LYNN UNIVERSITY,Boca Raton,FL
1001,northfloridacommunitycollege,NORTH FLORIDA COMMUNITY COLLEGE,Madison,FL
1003,novasoutheasternuniversity,NOVA SOUTHEASTERN UNIVERSITY,Fort Lauderdale,FL
1010,saintleouniversity,SAINT LEO UNIVERSITY,Saint Leo,FL
1019,universitysouthfloridastpetersburg,UNIVERSITY OF SOUTH FLORIDA-ST PETERSBURG,St. Petersburg,FL
1027,universitytampa,THE UNIVERSITY OF TAMPA,,FL
1041,universitywestflorida,THE UNIVERSITY OF WEST FLORIDA,,FL
1456,altieruscareercollegenorcross,ALTIERUS CAREER COLLEGE-NORCROSS,Norcross,GA
1404,armstrongstateuniversity,ARMSTRONG STATE UNIVERSITY,,GA
1406,atlantametropolitanstatecollege,ATLANTA METROPOLITAN STATE COLLEGE,Atlanta,GA
1410,beulahheightsuniversity,BEULAH HEIGHTS UNIVERSITY,Atlanta,GA
1457,brewtonparkercollege,BREWTON-PARKER COLLEGE,Mount Vernon,GA
1407,clarkatlantauniversity,CLARK ATLANTA UNIVERSITY,Atlanta,GA
1397,georgiamilitarycollegefayetteville,GEORGIA MILITARY COLLEGE - FAYETTEVILLE,,GA
1467,herzinguniversityatlanta,HERZING UNIVERSITY-ATLANTA,Atlanta,GA
1431,merceruniversity,MERCER UNIVERSITY,Macon,GA
1432,oglethorpeuniversity,OGLETHORPE UNIVERSITY,Atlanta,GA
1434,piedmontcollege,PIEDMONT COLLEGE,Demorest,GA
1398,pointuniversity,POINT UNIVERSITY,West Point,GA
1439,spelmancollege,SPELMAN COLLEGE,Atlanta,GA
1440,thomasuniversity,THOMAS UNIVERSITY,Thomasville,GA
1441,toccoafallscollege,TOCCOA FALLS COLLEGE,Toccoa Falls,GA
1442,truettmcconnelluniversity,TRUETT MCCONNELL UNIVERSITY,Cleveland,GA
1443,wesleyancollege,WESLEYAN COLLEGE,Macon,GA
1445,youngharriscollege,YOUNG HARRIS COLLEGE,Young Harris,GA
1500,chaminadeuniversityhonolulu,CHAMINADE UNIVERSITY OF HONOLULU,Honolulu,HI
1770,coecollege,COE COLLEGE,Cedar Rapids,IA
1771,cornellcollege,CORNELL COLLEGE,Mount Vernon,IA
1764,desmoinesareacommunitycollege,DES MOINES AREA COMMUNITY COLLEGE,Ankeny,IA
1772,dordtcollege,DORDT COLLEGE,Sioux Center,IA
1775,ellsworthcommunitycollege,ELLSWORTH COMMUNITY COLLEGE,Iowa Falls,IA
1776,grandviewuniversity,GRAND VIEW UNIVERSITY,Des Moines,IA
1783,maharishiuniversitymanagement,MAHARISHI UNIVERSITY OF MANAGEMENT,Fairfield,IA
1786,northiowaareacommunitycollege,NORTH IOWA AREA COMMUNITY COLLEGE,Mason City,IA
